label,value_1,value_2
trip_id,167813073,167813077
person_id,511625,511625
household_id,203307,203307
tour_id,20976634,20976634
primary_purpose,escort,escort
trip_num,1,1
outbound,True,False
trip_count,1,1
purpose,escort,Home
destination,959,961
origin,961,959
destination_logsum,,
depart,15.0,16.0
hhsize,6,6
age,34,34
auto_ownership,3,3
number_of_participants,1,1
tour_category,non_mandatory,non_mandatory
parent_tour_id,,
tour_mode,SHARED3FREE,SHARED3FREE
duration,1.0,1.0
value_of_time,7.268461794470672,7.268461794470672
tour_type,escort,escort
free_parking_at_work,False,False
trip_period,MD,MD
is_joint,False,False
is_indiv,True,True
is_atwork_subtour,False,False
c_cost,-0.0023031007761139506,-0.0023031007761139506
parent_tour_mode,,
work_tour_is_SOV,False,False
work_tour_is_bike,False,False
i_tour_mode,5,5
tour_mode_is_SOV,False,False
tour_mode_is_auto,True,True
tour_mode_is_walk,False,False
tour_mode_is_bike,False,False
tour_mode_is_walk_transit,False,False
tour_mode_is_drive_transit,False,False
tour_mode_is_ride_hail,False,False
inbound,False,True
first_trip,True,True
last_trip,True,True
_origin_terminal_time,0,0
_dest_terminal_time,0,0
total_terminal_time,0,0
free_parking_available,False,False
dest_hourly_peak_parking_cost,13.40844786336284,5.149440606497332
origin_hourly_peak_parking_cost,5.149440606497332,13.40844786336284
origin_duration,0.0,1.0
dest_duration,0.0,1.0
origin_parking_cost,0.0,13.40844786336284
dest_parking_cost,0.0,5.149440606497332
total_parking_cost,0.0,9.278944234930085
trip_topology,1,1
density_index,2.0326380958232213,2.0326380958232213
origin_density_index,1.5849827236327831,1.5849827236327831
_walk_transit_origin,True,True
_walk_transit_destination,True,True
walk_transit_available,True,True
drive_transit_available,True,True
origin_walk_time,6.66,6.66
destination_walk_time,6.66,6.66
origin_density_measure,7763.304057567985,17499.955981916843
origin_density,2,1
origin_zone_taxi_wait_time_mean,9.5,5.5
origin_zone_taxi_wait_time_sd,0,0
origTaxiWaitTime,9.500000000000002,5.5
origin_zone_singleTNC_wait_time_mean,6.3,3.0
origin_zone_singleTNC_wait_time_sd,0,0
origSingleTNCWaitTime,6.299999999999999,3.0000000000000004
origin_zone_sharedTNC_wait_time_mean,8.0,5.0
origin_zone_sharedTNC_wait_time_sd,0,0
origSharedTNCWaitTime,7.999999999999998,4.999999999999999
congestion_destination,False,False
sov_available,True,True
hov2_available,True,True
hov3_available,True,True
sovtoll_available,False,False
hov2toll_available,False,False
hov3toll_available,False,False
walk_local_available,False,False
walk_lrf_available,False,False
walk_express_available,False,False
walk_heavyrail_available,False,False
walk_commuter_available,False,False
drive_local_available_outbound,True,False
drive_local_available_inbound,False,True
drive_lrf_available_outbound,False,False
drive_lrf_available_inbound,False,False
drive_express_available_outbound,False,False
drive_express_available_inbound,False,False
drive_heavyrail_available_outbound,False,False
drive_heavyrail_available_inbound,False,False
drive_commuter_available_outbound,False,False
drive_commuter_available_inbound,False,False
walk_ferry_available,False,False
_drive_ferry_available_outbound,False,False
_drive_ferry_available_inbound,False,False
drive_ferry_available,False,False
