label,value_1,value_2,value_3,value_4,value_5,value_6
person_id,511623,511624,511625,511626,511627,511628
Unnamed: 0,512354,512355,512356,512357,512358,512359
edu,5.0,5.0,16.0,4.0,8.0,16.0
work_at_home,0,0,0,0,0,0
p_hispanic,no,no,no,no,no,no
household_id,203307,203307,203307,203307,203307,203307
MAR,5,5,1,5,1,1
hispanic.1,0,0,0,0,0,0
worker,0,0,1,0,0,1
earning,0.0,0.0,30000.0,0.0,0.0,50000.0
hispanic,0,0,0,0,0,0
person_age,19 and under,19 and under,20 to 35,19 and under,above 60,35 to 60
sex,1,1,2,2,2,1
age,9,9,34,7,68,36
PNUM,3,4,1,5,6,2
school_zone_id,961,904,-1,947,-1,-1
work_zone_id,-1,-1,36,-1,-1,998
hours,0.0,0.0,40.0,0.0,0.0,40.0
student,1,1,0,1,0,0
race_id,6,6,6,6,6,6
relate,2,2,0,2,6,1
race,asian,asian,asian,asian,asian,asian
person_sex,male,male,female,female,female,male
TAZ,961,961,961,961,961,961
ptype,7,7,4,7,5,1
pemploy,4,4,1,4,3,1
pstudent,1,1,3,1,3,3
home_x,-122.2909233,-122.2909233,-122.2909233,-122.2909233,-122.2909233,-122.2909233
home_y,37.786775,37.786775,37.786775,37.786775,37.786775,37.786775
age_16_to_19,False,False,False,False,False,False
age_16_p,False,False,True,False,True,True
adult,False,False,True,False,True,True
male,True,True,False,False,False,True
female,False,False,True,True,True,False
has_non_worker,False,False,False,False,False,False
has_retiree,True,True,True,True,False,True
has_preschool_kid,False,False,False,False,False,False
has_driving_kid,False,False,False,False,False,False
has_school_kid,True,True,True,True,True,True
has_full_time,True,True,True,True,True,True
has_part_time,False,False,False,False,False,False
has_university,False,False,False,False,False,False
student_is_employed,False,False,False,False,False,False
nonstudent_to_school,False,False,False,False,False,False
is_student,True,True,False,True,False,False
is_gradeschool,True,True,False,True,False,False
is_highschool,False,False,False,False,False,False
is_university,False,False,False,False,False,False
school_segment,1,1,0,1,0,0
is_worker,False,False,True,False,False,True
home_taz,961,961,961,961,961,961
value_of_time,4.8480640169119384,4.8480640169119384,7.268461794470672,4.8480640169119384,7.268461794470672,7.268461794470672
_hh_vot,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672,7.268461794470672
school_taz,878,961,-1,961,-1,-1
distance_to_school,8.119999885559082,0.7599999904632568,,0.7599999904632568,,
roundtrip_auto_time_to_school,34.13999938964844,4.019999980926514,0.0,4.019999980926514,0.0,0.0
workplace_taz,-1,-1,5,-1,-1,17
workplace_location_logsum,,,13.847861295705853,,,13.803802910741892
distance_to_work,,,12.390000343322754,,,11.979999542236328
workplace_in_cbd,False,False,True,False,False,True
work_taz_area_type,,,0.0,,,1.0
roundtrip_auto_time_to_work,0.0,0.0,56.10000228881836,0.0,0.0,52.0
work_auto_savings,0.0,0.0,101.59939575195312,0.0,0.0,128.3662109375
