label,value_1,value_2,value_3,value_4,value_5,value_6,value_7,value_8,value_9,value_10,value_11,value_12,value_13,value_14,value_15
trip_id,744821729,744821733,744821734,744821969,744821973,744822121,744822125,744822126,744822127,744822321,744822325,744822713,744822714,744822717,744822718
person_id,2270797,2270797,2270797,2270798,2270798,2270799,2270799,2270799,2270799,2270799,2270799,2270800,2270800,2270800,2270800
household_id,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761,866761
tour_id,93102716,93102716,93102716,93102746,93102746,93102765,93102765,93102765,93102765,93102790,93102790,93102839,93102839,93102839,93102839
primary_purpose,work,work,work,othmaint,othmaint,eatout,eatout,eatout,eatout,school,school,work,work,work,work
trip_num,1,1,2,1,1,1,1,2,3,1,1,1,2,1,2
outbound,True,False,False,True,False,True,False,False,False,True,False,True,True,False,False
trip_count,1,2,2,1,1,1,3,3,3,1,1,2,2,2,2
purpose,work,othmaint,Home,othmaint,Home,eatout,othdiscr,othdiscr,Home,school,Home,escort,work,shopping,Home
destination,913,967,974,999,974,1026,1026,973,974,977,974,975,940,973,974
origin,974,913,967,974,999,974,1026,1026,973,974,977,974,975,940,973
destination_logsum,,12.390745570528386,,,,,12.980204125102846,13.233100857368335,,,,11.54975646829727,,11.270921753538127,
depart,6.0,18.0,19.0,12.0,15.0,14.0,21.0,21.0,21.0,7.0,14.0,8.0,8.0,17.0,17.0
trip_mode,TNC_SINGLE,TNC_SINGLE,WALK_LOC,SHARED2FREE,SHARED2PAY,SHARED2PAY,WALK,WALK_LOC,WALK,WALK_LOC,WALK_LOC,WALK_LOC,WALK_LOC,TAXI,WALK
mode_choice_logsum,-0.1360488023697789,-0.691122842097265,-0.11042862397175679,0.9451445872858808,0.9231249955022983,-1.3295196947622494,1.5546349913022617,-0.7493494575285913,1.1954040422131906,-1.3113214630036893,-0.9665351436417886,0.16061133044658102,0.15558078105147946,0.13274347279291462,0.027263917650378642
