label,value_1,value_2,value_3,value_4
person_id,2270797,2270798,2270799,2270800
age,43,3,12,38
earning,11700,0,0,2000
edu,16,1,9,1
hours,22,0,0,40
household_id,866761,866761,866761,866761
PNUM,2,4,3,1
race_id,1,1,1,1
relate,1,2,2,0
sex,2,2,2,1
student,0,0,1,0
work_at_home,0,0,0,0
worker,1,0,0,1
home_x,-122.34924519200001,-122.34924519200001,-122.34924519200001,-122.34924519200001
home_y,37.9695116581,37.9695116581,37.9695116581,37.9695116581
TAZ,974,974,974,974
ptype,1,8,7,1
pemploy,1,4,4,1
pstudent,3,1,1,3
age_16_to_19,False,False,False,False
age_16_p,True,False,False,True
adult,True,False,False,True
male,False,False,False,True
female,True,True,True,False
has_non_worker,False,False,False,False
has_retiree,False,False,False,False
has_preschool_kid,True,False,True,True
has_driving_kid,False,False,False,False
has_school_kid,True,True,False,True
has_full_time,True,True,True,True
has_part_time,False,False,False,False
has_university,False,False,False,False
student_is_employed,False,False,False,False
nonstudent_to_school,False,False,False,False
is_student,False,True,True,False
is_gradeschool,False,True,True,False
is_highschool,False,False,False,False
is_university,False,False,False,False
school_segment,0,1,1,0
is_worker,True,False,False,True
home_taz,974,974,974,974
value_of_time,8.658925286889026,5.775503166354981,5.775503166354981,8.658925286889026
school_taz,-1,915,977,-1
distance_to_school,,1.986121654510498,1.1791589260101318,
roundtrip_auto_time_to_school,0.0,5.728333473205566,2.426666736602783,0.0
workplace_taz,913,-1,-1,940
workplace_location_logsum,13.05248857316184,,,13.131811513307815
distance_to_work,3.3526482582092285,,,0.7497288584709167
workplace_in_cbd,False,False,False,False
work_taz_area_type,4.0,,,4.0
_auto_time_home_to_work,3.325000047683716,29.733333587646484,29.733333587646484,0.753333330154419
_auto_time_work_to_home,3.508333444595337,28.051666259765625,28.051666259765625,1.0399999618530273
roundtrip_auto_time_to_work,6.833333492279053,0.0,0.0,1.7933332920074463
_walk_time_home_to_work,67.05296325683594,672.7694702148438,672.7694702148438,14.994576454162598
_walk_time_work_to_home,68.55963897705078,564.5364379882812,564.5364379882812,17.5185489654541
_work_walk_available,True,True,True,True
_roundtrip_walk_time_to_work,135.61260986328125,1237.305908203125,1237.305908203125,32.513126373291016
_transit_ivt_home_to_work,18.799999237060547,0.0,0.0,6.5833330154418945
_transit_ivt_work_to_home,19.0,0.0,0.0,1.100000023841858
_work_transit_available,True,False,False,True
_transit_iwait,0.0,0.0,0.0,0.0
_transit_xwait,0.0,0.0,0.0,0.0
_transit_waux,9.399999618530273,0.0,0.0,0.0
_transit_wacc,7.199999809265137,0.0,0.0,25.799999237060547
_transit_wegr,5.199999809265137,0.0,0.0,7.566667079925537
_roundtrip_transit_time_to_work,59.599998474121094,0.0,0.0,41.04999923706055
_min_work_walk_transit,59.599998474121094,1237.305908203125,1237.305908203125,32.513126373291016
work_auto_savings,52.766666412353516,0.0,0.0,30.71979331970215
work_auto_savings_ratio,0.4397222101688385,0.0,0.0,0.25599828362464905
